address,stake
rdx1qspk55378p6m3xvjtfckn6jgc2lgxwptm9smslvvll85q5ydanwj8cguxhwqq,13522286982533282510088974
rdx1qspv9sfskaxanazy306x3u5jr7vp2dp4k8hwlafyt86flks0v5544dgqmexde,9030547401269482420731784
rdx1qsp4uhckvja80u2s8yrztu47fq6kr4f5q5z8a0n6ugeygrfvludhqysgq6l4v,3028706633344335587358952
rdx1qspwsv36lw0kwpu32c98fq2s3w5lyggc8k9g55l63z4rul5r9apeyws323gta,2072509661216452441367311
rdx1qsptzay9m3de57du6yrspyxsyku09r5msr48ewuucpyp7eue6hc3scspcu6t9,1934896955546003915207687
rdx1qspmgzu97puej7ewwypsc269m3neh5tr4yy53nmfckvxc5stxnf03hcrz4cqc,1018008795978646994104957
rdx1qspfsh2ss67am8ae968y9750p6cfanwqh8fr0ywjnw9a4hw427ftn9c8y2hd2,515430293573635860999966
rdx1qsp0tmm6g6ym2x5j90fhpec2gpas47lwfnxyklr23kk2netzpjv3hnqnqanas,320521624353379694958736
rdx1qspwwdf6v47z9vh8k4r5we28e2dndt2fp48sae6fljt2s82c2hnz0ksdysg7q,303713177781274716409038
rdx1qspuvn85gtuytk06nr7jk7rysnxwx8temcdcttnwnqeyppaa05mlq8qkwecgq,245334213495589251492964
rdx1qspjc6z4kyv4t29gngn7g59cynx350wudaf02ax3cgscl2zdhc3k6lg905vac,244912721027053280699610
rdx1qspnjwyluzg7h50yxvqya9ghu9cnqccz7yjylku2v3lzmgqpynjgc3quj7e8h,231169978685870384990981
rdx1qspu90kuctvwcat29hrl0esxnvpnccu5cl0mf069zadmje885rx47jger0luq,201667988178749636175215
rdx1qsphe3yjc89s2jqlkjcpr6hapee6hjvqn0kt57m4zyze92us8m9t2mcpeqdz2,187347786465584840885484
rdx1qspcw9mwytrtsw7ga7axzs06nms57hmwt43nr2uuxtk5tl2te0thcnggg0ete,168076135510779971136619
rdx1qsppejttkwyrja55jnsmruchpzsdz39jr9nlvv9ryvm85uahfnkwpdsgv8c7t,165418316892706601139415
rdx1qsppt7tj6u79cl328887300qxetg7ywy444pufw7py5efdtzag05zusjxzu52,123138006688161450633440
rdx1qspzryy6w6psq7gk998pcmd3tl4na5sjxke7yjj0jlzhufrrqvehf3qxt62v4,113485550295293073975793
rdx1qspzlgwah6v9yssgt78wpqyejheyf349px04pj4ez0kju5wv47esmcs5qc38h,111725318463140831158644
rdx1qspepevu9hcgshzt6wjarrgrhqp3w4sm8n0u2qkdmkyjs7hhqj6ejqsa0ysu3,106153825754467231039162
rdx1qsps8uvy6mta7n3hdzdq8le8m89fz3qhk2rltanhjzvzk8wxkt9e74cwtyh78,88906616969352492553035
rdx1qspenwjz58n3alf9hanr4nka5d46jtxjdacxzskh24yzd0ud4xy2jvchyuwwy,76597537683276074339211
rdx1qspe9xdtj28x544dxh498c6ssa6jehq0z6qj53vm7gz8gk6we3r2huglz0we2,74024440753738816210713
rdx1qspm45pykgh42qez3xs97zpu3h9xxx86ntsan5qp678s8f4aw34n25c8de7f3,73215420086169323564825
rdx1qspp3kqfwhp73ptjkmrrwvg0xn9k72lvar87407tp27akr5v48lznjqw4gp60,60395435003264354526018
rdx1qsp3gk04sqxrsqu0nsagak3czn6suv6mfk4npmeqjlqgcqq6qpev9fgy0jnnu,60248991759399081544385
rdx1qspr5rm0kd2z28j6rj4qclmv8pjl2gncytwtdfsktkajy9jcth6u8ngktlwdm,59860284890480800601004
rdx1qsplsdx64mllst7f3c5ydqjhfmxsv5l2k90z7v9d0wuzptx6kef02xgmn2w6w,55595325631090082025544
rdx1qspxylz03w3d8z2cx48ayz7k52s6869687myy9pywwsqw06dswxfynq7drlmj,53228925297660918255138
rdx1qspknyachak4n9th2ttvjgw7k72a9qtedl55758rms29w98syt7vf3q6nd0pj,53116463829919853235671
rdx1qsp6wwvr5yzfrvpefghkhf2c0nh8mcya27ze8mlttgxl2vu59pf8rtcjlkqqf,53110078991934202812175
rdx1qsphtjjvkj4hlz6gwqr7hqzx0cuje6vdxxg7xnxsfv87qt5tq2zhaac90gyhn,47376442246760711942515
rdx1qsp3fzq05h9xcynt7ldjf58mx06xnzrgjrl3u6hm4eupgtp9aj05tfgmyu2y0,45855518103118631183088
rdx1qsps24zz0mhgs2h6948f476qs2vmcgrlqjsnlyf99y2lsgrshkqkusgpcrrwv,44710509634881643578679
rdx1qsptjh8kg4h6yyf6pqz0pver0ueexh7wnwm3kxuhyax70zdk9728sacmvmqwq,44404357859531152295998
rdx1qspyljc40cdq7jnjy29qxnce5rmhaeycedp8pld9u6lhmffef2ecmag3cuw68,44398244173528618500824
rdx1qsp4rd9u7lwq2gevrn78drul6trnw0vjwhpdfcp9sh8kerzs24zwzns5x4e9a,39972984295494530580250
rdx1qsp9434dcc4g8kmskatxg8t24wmx6jaqm0e0hv7geewygeptsv2edqcy2vz7s,36703204130178933202377
rdx1qspfrmqzhfp0p83ja35sxe0lcvd4fkl57ynzveljdn9wl950maknjgq89jy2c,35364554653182906111603
rdx1qspup50jry2xmn390eyd6aeklzr67u94vlzjmqeqwxgjztvfjmha0lgv28zlh,33555014738697476523136
rdx1qsp8nu83ev6rz6ctn37h9guwcaxr9dhjd8kaethmlgvpt8jxpwfcqcsaj2hpj,33153806859161486541172
rdx1qsp6kzk6ee5v6tkcxsr5r32yk6wa8a2e9w8jquevr7ple7vmqkmrd5cftauem,32225216350291851630771
rdx1qspl484mm995hy5wmq8ylc0secf8uu2cvyzruputrk6z8ccjdcsqkcgsnhr2k,31443183777162471638729
rdx1qsplsxll7zzv7xhq3ge7dzd77wyu7uxdpd2j98plxymhln0kv6ndekszmqezp,31378761339590035675046
rdx1qspd0mvawym0yxpjv7szfy0c4dsuwrajsyyeha7l664uv0jekwf2h2spe5z9j,30642787943559057450988
rdx1qspzcq2swwjcj5pkyl25vezz7akgysd3js9zxxjjnfavn64766030cg5ttvk6,30484694871372319524901
rdx1qspphjk0t95c60z7nq0t60qdzzftqj5nj5rzpgezfk8xyv7jl4c47hgfnsw3d,30201086793220403259894
rdx1qsp65dznwr4gx7fqfwcd0xd4gfjyyrl23fe3xk80y2peetj2qqazr3gdh445y,30191365442725637054248
rdx1qspc9nlcg69ly7mvkx0attvfsnueddzej6uqvuyymvqew0n5ped3n0cevl0u3,25808378084797962693569
rdx1qsphr7mjru5exp0ffxw2jnsclz4q5c9xcghwl95gpk0la5lhtzux90ghhraw2,25162284111112697993486
rdx1qspju2svr30qhtum4elrwzgznpgfaw4ytm344tmkl8prksx7zwx7y7gcfm6ae,24456620508309931043851
rdx1qspl5uxugthv8zd39vg4d94hzlme0jqted5x7yykt8wcn8afdm2vt7qszetcl,24376466300888210143481
rdx1qspjvc6a8g660t5xnf8mfgud8v3a60z7wkdgltks4e979duvzvs88ecykl499,23420674523271736242873
rdx1qsp3w7uuklh05639x2lpmnzs089h3g4xp5r8yt2rskdugwrsel9x4cqgpqqrr,23249289487355582121905
rdx1qsp7ultwsu84u8kg3tfw7k69klupthf4hd2cw8r6cznkcucfjn4l4cg32x83x,23209055981523228606941
rdx1qspnyrpzeldzgadj9awqcqsqe0nwm6yxfphdrl5ppxcpklmeurlyrgsdpkufu,22546901156287807872365
rdx1qspvx0xxwvg6kafsz6h8gvw7twyenfkx9lv20x7ydt58ve3wml4xencpuqm02,22199862459944983358098
rdx1qspvv7qkxrh3x8s2f8kzhx33yhvaps5cha3s57pnuu8mk5ylj7ja7vg6yajmc,21682765767809029890467
rdx1qsp00w55euggc50t4sjh6whtggahyjf4hxkdgz7mnz8m7y9avv9vupqtj0x06,21186268687585368606456
rdx1qspapgsnakeu8y4msxlndpv27ajpptjp4zhr3th4ylhmfxh2uccqm3gwm47en,20857637477625606152261
rdx1qsptdlutzea7xwq6wh6qxh5h3xscj9wsyr30k55plwsfehs7hx8p9kqp4nwym,20393649154368846840944
rdx1qsptcd5fu5z4uxgswnc9704d40gkrqxdc85jzp4r3mzmhe4zefs7d5cex2unf,20171887179136851895234
rdx1qspxcgyv62ur7ky2vpq2txfspd7784g44w8l7mdmyta77yd5an4pkwgfp73ds,19966801105700646608370
rdx1qspl5x07vqsa5m4m6kwht33rk5cp7sgqg5l3kkejr4tecpacj0pmq0s80wuvz,19456039973018417611239
rdx1qspqj6w96c7zus2mz9tflkquxnxwagffdkgr9uz4vwjylhasfxwrcws0qeh0v,19242833067124652430651
rdx1qsp8yy5v99gfdegjlh2298fhrl2nsyfrwcywa8a5fwu409ackz6mkegetw3el,18892823961400925738378
rdx1qspenjvslr9835hynk6skqnr5p4aze2u4je3ulwl4qk88c0gchzmwjqj6kcs0,18425782648378351488384
rdx1qsp43dz32yt6jmpvv908nzld5mxkmme2944mru64a3jne0xsxemftag7u2qym,18365727999480369684194
rdx1qspu7z5h32chhxtf7s4cdqrel2fvlesu0fp4vnqledmyzakgctsvdrsfvrd2q,17649173168691716402882
rdx1qspz8g799jyfqkw7u87chqrwr0j636qxanl3sm9csp2824ruxrvxd3sxl5r78,17638049811114762356148
rdx1qspw4a08y9f75zxxdtpld5krpq3wr2c5tmmkv7772kr8auseg0sm55qnz7f6g,17522642468220518128873
rdx1qsptt5t5fh7mp5gda39jxp2egpmrc4jyypzndvqwtu9dafezxzgwd2qtdu8g6,17455216946556038607730
rdx1qsp44x58ceycd3gwjccjr80xz6j7ynd2l2udy4v9sqw24adctusz88gr6l33m,16916809981160479467115
rdx1qspchky76ae9kqjyljz50xd3je9yyl9lvxkcuv0n4j209mjxc26ygjqmdvl4l,16697558695959975593522
rdx1qspm7rgw50ue5xqzx9fft2mmk66hpm6jcf37tg3raxwfhres63fjdwsygdgtd,15063496722973097204863
rdx1qsp3te4nkc7x3cnft553ylk79qq5nfu3c3yae7x8gq2lqxnjugu3eas2y2c35,14212447326909293728395
rdx1qspuj57eyz84d5jgk2sxp2v4nleqmtg5q44q2df3es4zwqpq3fxdkeqz2cz8k,13945108000541265833020
rdx1qspr6jzk53wjru3z26j22qnxem0g5hga74le39m77mvhjsfwlnvvqnc3jd5mm,12876592473112107104718
rdx1qsprz59d5e4kkwjc7yy8yc5x74kd6luyvhmxq25qvac574dvslymgnsc3n3wa,12692853562241713840924
rdx1qspc9r8cp9w6ynq482q6ldrpad2g67acdu26dngcnzqwsav36wvfv2c3yp056,12313800668816145063344
